target_text_fa	target_text	prefix	input_text
این کار را به روش خودش انجام دهد	to do it his way	xIntent	PersonX abolishes the ___ altogether
وکیلی پیدا کنید	find a lawyer	xNeed	PersonX abolishes the ___ altogether
مثل اینکه او رئیس است.	like he's the boss	xReact	PersonX abolishes the ___ altogether
برای نوشتن یک روزنامه	to write a paper	xWant	PersonX abolishes the ___ altogether
شریکش در یک رابطه قانونی است.	their partner is in a legal relationship	oEffect	PersonX about to get married
خوشحال	happy	oReact	PersonX about to get married
برای رفتن به مرخصی	to go on vacation	oWant	PersonX about to get married
هیجان زده	excited	xAttr	PersonX about to get married
آن ها با هم رابطه قانونی دارند	they are in a legal relationship	xEffect	PersonX about to get married
تا زندگیش را با کس دیگری در میان بگذارد	to share his life with someone	xIntent	PersonX about to get married
برای اینکه واقعا آن ها را دوست داشته باشم	to really like them	xNeed	PersonX about to get married
انگار او کسی را دارد که در موردش اینطور فکر می کند.	like he has someone he feels that way about	xReact	PersonX about to get married
برای رفتن به ماه عسل	to go on a honey moon	xWant	PersonX about to get married
شخصی در حال انتظار به پای خود می کوبد	persony taps their foot while waiting	oEffect	PersonX accepts PersonY appointment
خوشحال	happy	oReact	PersonX accepts PersonY appointment
برای پیگیری شخص ایکس	to follow up with PersonX	oWant	PersonX accepts PersonY appointment
وابسته.	dependent.	xAttr	PersonX accepts PersonY appointment
سوگند یاد می کند	swears an oath	xEffect	PersonX accepts PersonY appointment
تا شغلی داشته باشم	to have a job	xIntent	PersonX accepts PersonY appointment
برای رزرو کردن محل ملاقات	to reserve appointment space	xNeed	PersonX accepts PersonY appointment
اعتماد به نفس	confident	xReact	PersonX accepts PersonY appointment
تا از شخصی پیروی کنند.	to follow up with PersonY	xWant	PersonX accepts PersonY appointment
حتی احساس می کنم	feel even	oEffect	PersonX accepts PersonY thanks
سپاسگزارم.	grateful	oReact	PersonX accepts PersonY thanks
برای کمک به او	to help him	oWant	PersonX accepts PersonY thanks
پروردگارا!	gracious	xAttr	PersonX accepts PersonY thanks
احساس سپاسگزاری می کند	feels grateful	xEffect	PersonX accepts PersonY thanks
برای مهربانی کردن	to be gracious	xIntent	PersonX accepts PersonY thanks
تا با حرف زدن با آقای یی	to get talk to Y	xNeed	PersonX accepts PersonY thanks
قابل تحسین	appreciated	xReact	PersonX accepts PersonY thanks
تا به او هدیه ای بدهد	to give him a treat	xWant	PersonX accepts PersonY thanks
کاغذ را امضا می کند	signs the paper	oEffect	PersonX accepts PersonY's proposal
هیجان زده	excited	oReact	PersonX accepts PersonY's proposal
تا نقشه ای بکشیم	to make plans	oWant	PersonX accepts PersonY's proposal
کفرآميز	cooperative	xAttr	PersonX accepts PersonY's proposal
مقداری پول بدست می آورد	earns some money	xEffect	PersonX accepts PersonY's proposal
می خواهد ازدواج کند	wants to get married	xIntent	PersonX accepts PersonY's proposal
تا به امروز	to date	xNeed	PersonX accepts PersonY's proposal
خوشحال	happy	xReact	PersonX accepts PersonY's proposal
برای ازدواج	to marry	xWant	PersonX accepts PersonY's proposal
باید بازنشسته بشوند.	get's to retire	oEffect	PersonX accepts PersonY's resignation
خوشحال	happy	oReact	PersonX accepts PersonY's resignation
نفرین شخص ایکس را بیرون کنید	curse PersonX out	oWant	PersonX accepts PersonY's resignation
با وجود این،	Understanding	xAttr	PersonX accepts PersonY's resignation
نیاز به پیدا کردن کارگری دیگر دارد.	needs to find another worker	xEffect	PersonX accepts PersonY's resignation
برای صداقت	to be sincere	xIntent	PersonX accepts PersonY's resignation
نفرت از شخصی	reprimand PersonY	xNeed	PersonX accepts PersonY's resignation
نگران بودم.	worried	xReact	PersonX accepts PersonY's resignation
دست شخصی را تکان دهد	shake PersonYs hand	xWant	PersonX accepts PersonY's resignation
مردم به شخص ایکس اعتماد دارند.	people trust PersonX	oEffect	PersonX accepts one 's ___
خوشحال از دیدن یک انسان مهربان	happy to see a kind person	oReact	PersonX accepts one 's ___
برای انتقاد از کار شخص ایکس	to critique person X's work	oWant	PersonX accepts one 's ___
انگیزه دار	motivated	xAttr	PersonX accepts one 's ___
انسجام آن ها را حفظ می کند	keeps their integrity	xEffect	PersonX accepts one 's ___
